Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
Platero Suárez - Milagrosa,132,T,14,1,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3734343681182198, 39.48528636793778], ""type"": ""Point""}","39.48528636793778, -0.3734343681182198",La Saidia
Francisco Cubells - San José de la Vega,159,T,13,4,17,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3347222532485526, 39.463449276866356], ""type"": ""Point""}","39.463449276866356, -0.3347222532485526",Poblats Maritims
Armada Española - Mariano Cuber,162,T,13,6,19,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3297952360224295, 39.46360427573933], ""type"": ""Point""}","39.46360427573933, -0.3297952360224295",Poblats Maritims
Giorgeta - Roig de Corella,195,T,5,11,16,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3842814248129742, 39.459384287208486], ""type"": ""Point""}","39.459384287208486, -0.3842814248129742",Jesus
Mediterráneo - Plaza Cruz de Cañamelar,161,T,7,8,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3317262387298495, 39.46796929073871], ""type"": ""Point""}","39.46796929073871, -0.3317262387298495",Poblats Maritims
Malvarrosa - Río Tajo,168,T,5,10,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.32788721869941045, 39.47687131828106], ""type"": ""Point""}","39.47687131828106, -0.32788721869941045",Poblats Maritims
Isabel de Villena - Mendizábal,170,T,20,0,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.32533420529241996, 39.482973337910934], ""type"": ""Point""}","39.482973337910934, -0.32533420529241996",Poblats Maritims
Tomas de Villarroya - San Vicente,255,T,3,15,18,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38602944085901075, 39.447703249066144], ""type"": ""Point""}","39.447703249066144, -0.38602944085901075",Jesus
"Plaza Salvador Soria, 8",257,T,2,18,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38910445245389036, 39.44525124234686], ""type"": ""Point""}","39.44525124234686, -0.38910445245389036",Jesus
Fray Juanípero Serra - Torrente,212,T,6,9,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40039647823746194, 39.46148430130945], ""type"": ""Point""}","39.46148430130945, -0.40039647823746194",Patraix
