Id;Estacion;Fecha;Dia de la semana;Dia;Mes;Anyo;PM10;NO;NO2;O3;SO2
11901;Avda. Francia;18/09/2012;Martes;18;9;2012;25.0;9.0;30.0;47.0;2.0
33914;Avda. Francia;09/03/2020;Jueves;9;3;2020;10.0;1.0;13.0;65.0;4.0
33918;Politecnico;09/03/2020;Jueves;9;3;2020;9.0;2.0;9.0;67.0;3.0
11908;Avda. Francia;19/09/2012;Miercoles;19;9;2012;18.0;2.0;19.0;63.0;0.0
11915;Avda. Francia;20/09/2012;Jueves;20;9;2012;13.0;2.0;18.0;59.0;1.0
33923;Avda. Francia;09/04/2020;Viernes;9;4;2020;8.0;2.0;14.0;71.0;3.0
11927;Viveros;21/09/2012;Viernes;21;9;2012;;2.0;20.0;48.0;2.0
33926;Pista Silla;09/04/2020;Viernes;9;4;2020;9.0;10.0;29.0;76.0;3.0
11929;Avda. Francia;22/09/2012;Sabado;22;9;2012;19.0;2.0;15.0;57.0;0.0
33928;Viveros;09/04/2020;Viernes;9;4;2020;24.0;5.0;26.0;73.0;3.0
11936;Avda. Francia;23/09/2012;Domingo;23;9;2012;26.0;6.0;20.0;52.0;1.0
33935;Pista Silla;09/05/2020;Sabado;9;5;2020;8.0;6.0;19.0;85.0;3.0
11945;Moli del Sol;24/09/2012;Lunes;24;9;2012;;;;83.0;4.0
33936;Politecnico;09/05/2020;Sabado;9;5;2020;10.0;1.0;8.0;73.0;3.0
11946;Pista Silla;24/09/2012;Lunes;24;9;2012;30.0;10.0;27.0;63.0;2.0
11950;Avda. Francia;25/09/2012;Martes;25;9;2012;14.0;;;66.0;1.0
33950;Avda. Francia;09/07/2020;Lunes;9;7;2020;13.0;1.0;7.0;65.0;3.0
11952;Moli del Sol;25/09/2012;Martes;25;9;2012;;9.0;17.0;85.0;4.0
11954;Politecnico;25/09/2012;Martes;25;9;2012;21.0;1.0;9.0;59.0;3.0
11960;Pista Silla;26/09/2012;Miercoles;26;9;2012;31.0;19.0;33.0;47.0;2.0
33962;Pista Silla;09/08/2020;Martes;9;8;2020;8.0;10.0;24.0;;3.0
11961;Politecnico;26/09/2012;Miercoles;26;9;2012;16.0;4.0;8.0;44.0;1.0
33963;Politecnico;09/08/2020;Martes;9;8;2020;10.0;2.0;10.0;61.0;4.0
11968;Politecnico;27/09/2012;Jueves;27;9;2012;9.0;1.0;1.0;40.0;1.0
33968;Avda. Francia;09/09/2020;Miercoles;9;9;2020;8.0;2.0;13.0;74.0;4.0
33973;Viveros;09/09/2020;Miercoles;9;9;2020;16.0;4.0;20.0;79.0;4.0
11971;Avda. Francia;28/09/2012;Viernes;28;9;2012;15.0;1.0;13.0;56.0;1.0
11974;Pista Silla;28/09/2012;Viernes;28;9;2012;15.0;4.0;23.0;47.0;3.0
33982;Viveros;09/10/2020;Jueves;9;10;2020;17.0;5.0;29.0;69.0;4.0
11982;Politecnico;29/09/2012;Sabado;29;9;2012;9.0;0.0;10.0;43.0;1.0
11983;Viveros;29/09/2012;Sabado;29;9;2012;6.0;3.0;18.0;42.0;0.0
11985;Avda. Francia;30/09/2012;Domingo;30;9;2012;;10.0;18.0;53.0;0.0
33991;Viveros;09/11/2020;Viernes;9;11;2020;21.0;6.0;30.0;77.0;4.0
11988;Pista Silla;30/09/2012;Domingo;30;9;2012;20.0;10.0;34.0;36.0;2.0
11989;Politecnico;30/09/2012;Domingo;30;9;2012;13.0;1.0;10.0;50.0;2.0
33995;Avda. Francia;09/12/2020;Sabado;9;12;2020;8.0;1.0;13.0;83.0;3.0
11999;Avda. Francia;10/02/2012;Martes;10;2;2012;21.0;6.0;20.0;55.0;2.0
12001;Moli del Sol;10/02/2012;Martes;10;2;2012;20.0;5.0;21.0;52.0;4.0
33999;Politecnico;09/12/2020;Sabado;9;12;2020;14.0;1.0;8.0;82.0;3.0
