Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""LA TORRE""";C/. BENIDOLEIG, 9;19;197;1;364;;;;MA17;"{""coordinates"": [-0.39317166711140966, 39.43450705844619], ""type"": ""Point""}";39.43450705844619, -0.39317166711140966
01-MERCADO;MERCADO BENIMAMET;PL. ALBORAIG;18;181;1;376;;;;ME10;"{""coordinates"": [-0.41797673760175974, 39.498897259978804], ""type"": ""Point""}";39.498897259978804, -0.41797673760175974
01-MERCADO;MERCADO TORREFIEL;C/. SANT DOMENEC SAVIO;15;152;1;383;;;;ME08;"{""coordinates"": [-0.3757708763088721, 39.49751156709636], ""type"": ""Point""}";39.49751156709636, -0.3757708763088721
04-CENTRO EDUCATIVO;IES LLUIS VIVES;C/. SANT PAU, 4 (punt ubicat en AV. MARQUÃ¿S DE SOTELO, 9 );1;016;1;384;;;;ED05;"{""coordinates"": [-0.3772980467911945, 39.46808530153522], ""type"": ""Point""}";39.46808530153522, -0.3772980467911945
04-CENTRO EDUCATIVO;CEIP DOCTOR LOPEZ ROSAT;C/. VICENT MAROTO, 1;7;073;1;385;;;;ED14;"{""coordinates"": [-0.3959491269210414, 39.464846489713594], ""type"": ""Point""}";39.464846489713594, -0.3959491269210414
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""PATRAIX""";C/. SALABERT, 13ac;8;081;1;386;;;;MA07;"{""coordinates"": [-0.3942959387452805, 39.46285526673407], ""type"": ""Point""}";39.46285526673407, -0.3942959387452805
08-VARIOS;CENTRO SOCIAL SENABRE;C/. LLANERA DE RANES, 30;9;092;1;387;;;;VA03;"{""coordinates"": [-0.38900826546718986, 39.453230348762766], ""type"": ""Point""}";39.453230348762766, -0.38900826546718986
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""NOU MOLES""";C/. BURGOS, S/N;7;071;1;390;;;;MA03;"{""coordinates"": [-0.39906318290102577, 39.4701102123832], ""type"": ""Point""}";39.4701102123832, -0.39906318290102577
09-UNIVERSIDAD POPULAR;UP ROVELLA. CENTROS SOCIALES.;C/. ARABISTA AMBROSIO HUICI, 24;10;105;1;391;;;;UP12;"{""coordinates"": [-0.3607904227176457, 39.45607941099214], ""type"": ""Point""}";39.45607941099214, -0.3607904227176457
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""MARE DE DEU DEL DESEMPARATS""";C/. MÃ¿SIC AYLLÃ¿N, S/N;7;073;1;393;;;;MA04;"{""coordinates"": [-0.3968979392254807, 39.465843663515614], ""type"": ""Point""}";39.465843663515614, -0.3968979392254807
00-DEPENDENCIAS MUNICIPALES;AJUNTAMENT DE VALÃ¿NCIA-TABACALERA(Entrada Registro);C/. AMADEU DE SAVOIA, 11;6;061;1;398;;;;DM06;"{""coordinates"": [-0.36213070107963596, 39.47404257072742], ""type"": ""Point""}";39.47404257072742, -0.36213070107963596
04-CENTRO EDUCATIVO;IES BARRIO DEL CARMEN;C/. BENEFICÃ¿NCIA, 20;1;013;1;401;;;;ED04;"{""coordinates"": [-0.3818176888953007, 39.479630497789266], ""type"": ""Point""}";39.479630497789266, -0.3818176888953007
05-CENTROS JUVENILES;CM JUVENTUD CAMPANAR;C/. VALL DE LA BALLESTERA, 66;4;044;1;403;;;;JU01;"{""coordinates"": [-0.4061498803864604, 39.47891670388609], ""type"": ""Point""}";39.47891670388609, -0.4061498803864604
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""LA LLUM""";C/. SANTIAGO DE LÃ¿S, 1;7;075;1;404;;;;MA06;"{""coordinates"": [-0.4127212813409663, 39.46778741493406], ""type"": ""Point""}";39.46778741493406, -0.4127212813409663
04-CENTRO EDUCATIVO;CEIP BENIMAMET;C/. RAFAEL TENES ESCRICH, 56;18;181;1;409;;;;ED39;"{""coordinates"": [-0.4131313245174659, 39.50049260813759], ""type"": ""Point""}";39.50049260813759, -0.4131313245174659
04-CENTRO EDUCATIVO;COLEGIO PUBLICO SANTA TERESA;C/. HORT D'EN CENDRA, L', 3;1;013;1;410;;;;ED03;"{""coordinates"": [-0.3814859965831113, 39.479126936776616], ""type"": ""Point""}";39.479126936776616, -0.3814859965831113
04-CENTRO EDUCATIVO;COLEGIO LA PURISIMA-GRAO;C/. JOSEP AGUIRRE, 33;11;111;1;411;;;;ED43;"{""coordinates"": [-0.3340292437170603, 39.46183478074841], ""type"": ""Point""}";39.46183478074841, -0.3340292437170603
02-CM_PERSONAS MAYORES;"CM CENTRO DIA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES ""LA PURISIMA""";C/. ASSAGADOR D'ALBORAIA, 20;15;153;1;412;;;;MA31;"{""coordinates"": [-0.362819473160609, 39.489434578663975], ""type"": ""Point""}";39.489434578663975, -0.362819473160609
00-DEPENDENCIAS MUNICIPALES;EDIFICIO CASINO;C/. FERRER I BIGNÃ¿, 85;17;171;1;414;;;;DM15;"{""coordinates"": [-0.385459797179561, 39.53024417996588], ""type"": ""Point""}";39.53024417996588, -0.385459797179561
04-CENTRO EDUCATIVO;COLEGIO PUBLICO CERVANTES;C/. GUILLEM DE CASTRO, 153;3;031;1;415;;;;ED09;"{""coordinates"": [-0.3841141760963024, 39.47716484353804], ""type"": ""Point""}";39.47716484353804, -0.3841141760963024
01-MERCADO;MERCADO ALGIROS;PL. SANT FELIP NERI;12;122;1;417;;;;ME07;"{""coordinates"": [-0.35347936718283945, 39.470008546884294], ""type"": ""Point""}";39.470008546884294, -0.35347936718283945
09-UNIVERSIDAD POPULAR;UP MORVEDRE;PL. RONCESVALLS, 8;5;054;1;418;;;;UP06;"{""coordinates"": [-0.37866891433936917, 39.48751032990669], ""type"": ""Point""}";39.48751032990669, -0.37866891433936917
